"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","32","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","32","1","0.000000","0","0"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","64","2","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","50","6","0.000000","0","5"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","0","2","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","0","136","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","0","0","366","11","0.000000","0","459"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","0","120","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","0","36","2","0.000000","0","0"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","0","120","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","0","150","6","0.000000","0","0"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","0","5","1","0.000000","0","5"
"/MeshModelingToolsetExp/Materials/PointSetOverlaidComponentMaterial.PointSetOverlaidComponentMaterial","0","0","9","1","0.000000","0","0"
"/Game/UtopianCity/Materials/M_ConcretePattern02.M_ConcretePattern02","0","0","8","1","0.000000","0","59"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","2","1","0.000000","0","0"
"/Game/UtopianCity/Materials/M_Water01.M_Water01","0","0","6","1","0.000000","0","0"
"/Game/UtopianCity/Materials/M_Brut.M_Brut","0","0","14","1","0.000000","0","0"
"/Game/UtopianCity/Materials/M_WindowGlass02.M_WindowGlass02","0","0","20","1","0.000000","0","0"
"/Game/UtopianCity/Materials/M_Grass01.M_Grass01","0","0","32","1","0.000000","0","0"
"/Game/UtopianCity/Materials/M_MetalGridMat.M_MetalGridMat","0","0","6","1","0.000000","0","0"
"/Game/UtopianCity/Materials/M_MetalGridMat2.M_MetalGridMat2","0","0","6","1","0.000000","0","0"
